,OTU00002,OTU00003,OTU00004,OTU00005,OTU00006,OTU00008,OTU00009,OTU00010,OTU00011,OTU00012,OTU00013,OTU00014,OTU00015,OTU00016,OTU00017,OTU00018,OTU00019,OTU00021,OTU00022,OTU00023,OTU00024,OTU00028,OTU00030,OTU00032,OTU00034,OTU00035,OTU00036,OTU00037,OTU00039,OTU00041,OTU00042,OTU00043,OTU00044,OTU00045,OTU00047,OTU00048,OTU00049,OTU00050,OTU00052,OTU00054,OTU00055,OTU00056,OTU00057,OTU00058,OTU00059,OTU00060,OTU00061,OTU00062,OTU00064,OTU00065,OTU00067,OTU00070,OTU00071,OTU00072,OTU00077,OTU00078,OTU00079,OTU00081,OTU00085,OTU00086,OTU00090,OTU00092,OTU00094,OTU00096,OTU00097,OTU00101,OTU00103,OTU00111,OTU00112,OTU00121,OTU00123,OTU00124,OTU00126,OTU00129,OTU00132,OTU00136,OTU00137,OTU00152,OTU00155,OTU00158,OTU00162,OTU00165,OTU00171,OTU00188,OTU00196,OTU00198,OTU00226,OTU00309,OTU00311
S107,507928.22,29159.57198,238005.1551,61471.53011,196630.0867,46103.64758,537875.8885,62259.62665,101270.4054,61077.48184,327060.064,59895.33703,77233.46091,26795.28236,144221.6668,25219.08928,78809.65399,788.0965399,10245.25502,57136.99914,19308.36523,0,55560.80606,62259.62665,23248.84793,3152.38616,2758.33789,23248.84793,2758.33789,7092.868859,31523.8616,21278.60658,2364.28962,18520.26869,788.0965399,10639.30329,26007.18582,5122.627509,32311.95814,0,33494.10294,4728.579239,22854.79966,26401.23409,0,17732.17215,8669.061939,788.0965399,16550.02734,33494.10294,19702.4135,394.0482699,1576.19308,5122.627509,0,14185.73772,14579.78599,15367.88253,788.0965398,26401.23409,5122.627509,16550.02734,788.0965398,40192.92354,13003.59291,1182.14481,3546.43443,2364.28962,16944.07561,10639.30329,0,3940.482699,7880.965399,394.0482699,7092.868859,34676.24775,394.0482699,13003.59291,0,394.0482699,1970.24135,0,0,1970.24135,0,0,394.0482699,1576.19308,0
S108,441019.8676,41664.97858,33803.66186,197319.0495,523563.693,80185.43047,471679.0027,234267.238,246059.2131,314452.6685,96694.19556,105341.6439,147792.7542,15722.63343,189457.7328,188671.6011,396996.4939,1572.263342,18867.16011,7861.316712,17294.89676,3144.526685,62890.5337,77040.90378,7861.316712,18867.16011,6289.053369,55029.21699,14150.37008,65248.92871,27514.60849,55029.21699,786.1316712,3930.658356,8647.448383,17294.89677,7075.185041,15722.63342,44023.37359,786.1316712,20439.42345,21225.55512,88046.74717,22011.68679,6289.05337,42451.11025,11005.8434,0,22797.81847,64462.79704,3144.526685,1572.263342,5502.921699,8647.448383,2358.395014,1572.263342,1572.263342,13364.23841,11005.8434,9433.580055,1572.263342,6289.053369,786.1316712,14936.50175,19653.29178,1572.263342,6289.053369,2358.395014,51884.69029,22011.68679,3930.658356,3144.526685,1572.263342,2358.395014,3930.658356,53456.95364,0,31445.26685,786.1316712,3930.658356,0,1572.263342,1572.263342,2358.395013,786.1316712,1572.263342,0,786.1316712,1572.263342
S109,99665.20979,109367.1329,177280.5944,142882.8671,408362.7623,200212.4126,220498.2518,204622.3776,251368.007,68795.45455,19403.84615,64385.48951,285765.7343,184336.5384,113777.0979,31751.74825,22931.81819,0,25577.7972,73205.41958,64385.48951,944614.5105,46745.62937,32633.74126,66149.47553,34397.72728,23813.81119,29987.76224,31751.74825,85553.32168,6173.951049,159640.7342,2645.979021,44981.64336,31751.74825,6173.951049,41453.67133,2645.979021,22049.82518,11465.90909,7055.944056,57329.54546,15875.87413,64385.48951,1763.986014,27341.78322,3527.972028,724116.2588,20285.83916,41453.67133,7937.937063,881.993007,3527.972028,16757.86713,769979.8952,40571.67832,40571.67833,26459.79021,2645.979021,29987.76224,48509.61539,24695.8042,2645.979021,5291.958042,14111.88811,0,14993.88112,881.993007,7937.937063,9701.923077,90845.27972,7055.944056,1763.986014,44981.64335,20285.83916,16757.86713,881.993007,18521.85315,130534.9651,0,8819.93007,70559.44056,37925.6993,0,69677.44756,57329.54545,0,881.993007,149056.8181
S110,209908.6196,98088.13999,149747.8937,391698.639,706234.6078,122283.2146,224294.8801,269415.4245,376658.4575,77816.59105,13078.41866,159556.7077,258298.7686,224948.801,206639.0149,49044.07,64084.25146,0,22887.23266,35965.65133,92856.77252,680731.6915,48390.14906,39235.25599,18309.78613,29426.442,11770.5768,55583.27933,33349.9676,34657.80946,14386.26053,68007.77706,7193.130266,14386.26053,14386.26053,6539.209332,12424.49773,5231.367466,69315.61893,2615.683733,17001.94426,193560.5963,41197.01879,13078.41866,2615.683733,37927.41413,12424.49773,190290.9916,21579.39079,118359.6889,18963.70706,653.9209332,5885.288399,8500.972132,287725.2106,8500.972132,7847.051198,26810.75826,3269.604666,7847.051199,7193.130265,3923.525599,0,24195.07453,15040.18147,2615.683733,10462.73493,2615.683733,21579.3908,16348.02334,94818.53532,13732.33959,0,39889.17693,27464.6792,11770.5768,653.9209332,28118.60013,49044.06999,653.9209332,3269.604666,75200.90732,83701.87945,653.9209332,50351.91186,74546.98639,3269.604666,1961.7628,6539.209332
S111,150089.8119,103363.7384,249205.7255,236462.2509,1343728.6,222302.8347,249205.7255,277524.558,1394702.498,151505.7536,128850.6876,65133.31462,853812.7982,378056.4132,87788.38058,76460.8476,154337.6369,0,29734.77407,82124.61409,174160.8195,1830812.517,84956.49733,55221.72327,41062.30704,65133.31462,12743.4746,43894.19029,45310.13191,92036.20545,9911.591355,157169.5201,9911.591356,28318.83244,42478.24866,9911.591356,38230.4238,0,53805.78164,4247.824867,24071.00758,145841.987,120355.0379,31150.71569,2831.883244,39646.36542,9911.591356,471508.5602,32566.65731,2831.883244,14159.41622,1415.941622,4247.824867,15575.35784,573456.3571,11327.53298,24071.00758,29734.77407,4247.824866,21239.12433,14159.41622,9911.591355,0,19823.18271,25486.9492,2831.883244,12743.4746,2831.883244,53805.78164,12743.4746,179824.586,31150.71569,0,1001070.727,111859.3882,5663.766489,9911.591355,38230.4238,109027.5049,1415.941622,0,176992.7027,348321.6391,2831.883244,209559.36,181240.5277,5663.766489,1415.941622,19823.18271
S112,460730.5936,520454.9298,240603.7544,348107.5596,356639.6076,438547.2688,515335.7009,334456.2828,426602.4015,206475.5623,46073.05936,163815.3221,85320.4803,180879.4182,273025.5369,8532.04803,5119.228818,0,1097221.377,56311.517,63137.15542,858324.0318,146751.2261,56311.517,40953.83054,17064.09606,1068212.413,199649.9239,64843.56503,141631.9973,23889.73448,447079.3167,11944.86724,27302.5537,46073.05937,85320.4803,17064.09606,8532.04803,37541.01133,791774.0571,29008.9633,61430.74581,22183.32487,252548.6216,261080.6697,56311.51699,23889.73449,191117.8758,95558.93793,52898.69778,20476.91527,18770.50567,6825.638424,588711.3141,447079.3168,13651.27685,35834.60173,162108.9126,119448.6724,64843.56503,18770.50567,10238.45764,3412.819212,35834.60173,22183.32488,10238.45764,64843.56503,11944.86724,15357.68645,40953.83054,98971.75715,11944.86724,18770.50567,69962.79385,10238.45764,46073.05936,1706.409606,44366.64975,68256.38424,3412.819212,0,80201.25148,83614.07069,1706.409606,66549.97463,114329.4436,3412.819212,3412.819212,13651.27685
S113,146033.6899,63248.70516,118927.102,37851.5417,249331.7683,96704.58396,169477.2254,62760.29818,46887.07101,47619.6815,19536.27959,36386.32073,53236.36188,93774.14202,89378.47911,1465.220969,6837.697855,488.4069897,3174.645433,35165.30325,42247.20461,0,39316.76267,16361.63415,23199.33201,2686.238443,2197.831453,36386.32073,3174.645433,4639.866403,8302.918825,32723.26831,1953.627959,13186.98872,1465.220969,27350.79142,15629.02367,11965.97125,9279.732804,244.2034948,9523.936299,1465.220969,7081.901351,45421.85004,488.4069897,11721.76775,7326.104846,0,22710.92502,61295.0772,7570.30834,1953.627959,4151.459412,1953.627959,0,6837.697856,12698.58173,22466.72153,1221.017474,9768.139794,7814.511835,8302.918824,11233.36076,8791.325814,2930.441938,7570.308341,976.8139793,13919.5992,3174.645433,10012.34329,0,4884.069897,3418.848928,0,6593.494361,23443.53551,244.2034948,17094.24464,0,2686.238444,1221.017474,0,0,488.4069897,0,0,0,732.6104845,0
S114,852938.3536,329629.0144,111738.6489,84735.14211,266310.4467,495374.677,869699.151,261654.6696,184368.7708,121981.3584,40039.68254,80079.36508,22347.72979,111738.6489,311937.0616,1862.310816,13967.33112,0,6518.087855,35383.9055,25141.19602,0,184368.7707,83803.98671,14898.48653,2793.466224,7449.243263,125705.9801,9311.554079,9311.554079,43764.30417,148053.7099,13036.17571,18623.10816,7449.243263,165745.6626,8380.398671,17691.95275,47488.9258,0,52144.70284,3724.621632,11173.8649,612700.2584,0,45626.61498,15829.64194,0,136879.845,41901.99336,9311.554079,4655.777039,13967.33112,5586.932448,0,5586.932447,7449.243264,113600.9598,1862.310816,19554.26357,4655.77704,6518.087856,8380.398671,78217.05427,7449.243264,39108.52713,1862.310816,31659.28387,4655.77704,40970.83795,0,3724.621632,13967.33112,0,5586.932448,74492.43263,0,70767.811,0,4655.77704,19554.26357,0,0,0,0,0,2793.466224,5586.932447,0
S115,555332.7013,240436.1808,224212.9782,184694.9208,488359.9934,116058.2949,288689.8087,107738.7038,14975.26385,7903.611478,45341.77111,201750.0825,15807.22296,54909.3008,106906.7447,2079.897757,17055.16161,1663.918206,70300.54419,73628.38061,29534.54815,831.9591029,46173.73021,26622.69129,43677.8529,14975.26385,44509.81201,22878.87533,17887.12071,7487.631926,19135.05937,29534.54815,9983.509235,23294.85488,5407.734169,17887.12071,39934.03694,7071.652375,35774.24142,9983.509235,12063.40699,8319.59103,8735.570581,24542.79353,1247.938654,58237.1372,22878.87533,0,32862.38457,8735.57058,14143.30475,6655.672823,2495.877309,39102.07784,415.9795515,16223.20251,21630.93668,23710.83443,20382.99802,5823.71372,9567.529684,8735.570581,9151.550132,17887.12071,6239.693272,2911.85686,12895.3661,10399.48879,5407.734169,12479.38654,2495.877309,4159.795515,6655.672823,0,6239.693272,1247.938654,3743.815963,19135.05937,0,4159.795515,7903.611478,831.9591029,415.9795515,415.9795515,0,415.9795515,0,1663.918206,0
S116,50129.72675,142034.2257,33618.74531,20688.45866,473845.2742,52119.00162,76984.9375,97275.54119,18699.18379,2188.202358,5371.042151,33220.89035,11338.86676,116173.6524,28844.48563,1790.347384,2983.912306,2784.984819,2784.984819,4973.187177,66441.78069,6365.679587,27849.84819,7559.244509,7161.389535,5967.824613,795.7099483,15118.48902,5768.897126,3580.694768,5371.042151,14322.77907,2586.057332,2983.912306,10941.01179,24667.0084,3580.694767,1193.564923,9548.51938,994.6374354,4177.477229,3580.694768,1790.347384,3381.76728,0,12731.35917,2586.057332,397.8549742,15317.41651,4177.477229,7559.244509,1193.564923,3580.694767,397.8549742,3580.694768,2586.057332,2983.912306,20688.45866,596.7824613,397.8549742,1193.564923,795.7099484,10742.0843,7559.244509,2586.057332,2784.984819,1193.564923,10543.15682,3381.767281,7161.389536,1989.274871,7957.099484,198.9274871,0,12532.43169,0,12930.28666,10344.22933,397.8549742,0,4376.404716,1193.564923,795.7099483,0,198.9274871,1591.419897,0,795.7099483,596.7824613
